dataset,model,seed,test_loss,test_acc,test_precision,test_recall,test_f1,val_loss,train_time_s,latency_ms,peak_mem_train,peak_mem_inference,checkpoint,error

chest,AlexNet,33,1.3877,0.8734,0.9133,0.8321,0.8529,0.0684,15.43,0.0329,207.88,174.6,checkpoints/chest_AlexNet_best.pth,0
chest,VGG16,33,0.8743,0.8814,0.9179,0.8427,0.8631,0.0435,77.94,0.2219,593.48,387.12,checkpoints/chest_VGG16_best.pth,0
chest,ResNet18,33,0.5184,0.9022,0.9303,0.8705,0.8891,0.0712,158.86,0.476,824.67,428.25,checkpoints/chest_ResNet18_best.pth,0
chest,GreenNet,33,0.7026,0.8381,0.8882,0.7868,0.8069,0.0822,7.64,0.0183,96.73,80.73,checkpoints/chest_GreenNet_best.pth,0
cells,AlexNet,33,0.1445,0.9722,0.9714,0.9728,0.972,0.0967,41.54,0.0372,210.77,176.76,checkpoints/cells_AlexNet_best.pth,0
cells,VGG16,33,0.0746,0.979,0.9774,0.9797,0.9785,0.0701,204.86,0.2267,595.42,389.93,checkpoints/cells_VGG16_best.pth,0
cells,ResNet18,33,0.0611,0.986,0.9857,0.9867,0.9862,0.0278,417.51,0.4831,826.23,430.81,checkpoints/cells_ResNet18_best.pth,0
cells,GreenNet,33,0.0916,0.9725,0.973,0.97,0.9714,0.0655,20.6,0.0278,97.75,81.75,checkpoints/cells_GreenNet_best.pth,0
lesions,AlexNet,33,0.6364,0.7641,0.5843,0.5,0.5242,0.67,24.1,0.0413,210.76,175.93,checkpoints/lesions_AlexNet_best.pth,0
lesions,VGG16,33,0.7066,0.7372,0.4657,0.4064,0.422,0.7479,120.54,0.226,594.66,387.42,checkpoints/lesions_VGG16_best.pth,0
lesions,ResNet18,33,0.6348,0.7701,0.6582,0.513,0.5298,0.6467,244.8,0.4818,826.22,428.68,checkpoints/lesions_ResNet18_best.pth,0
lesions,GreenNet,33,0.6891,0.7486,0.4969,0.4403,0.4577,0.6892,12.19,0.0277,97.75,81.74,checkpoints/lesions_GreenNet_best.pth,0
orgs,AlexNet,33,0.6151,0.9146,0.9043,0.9042,0.9032,0.0176,43.64,0.0333,208.02,175.3,checkpoints/orgs_AlexNet_best.pth,0
orgs,VGG16,33,0.445,0.9232,0.913,0.913,0.9125,0.0284,228.44,0.2209,593.56,386.44,checkpoints/orgs_VGG16_best.pth,0
orgs,ResNet18,33,0.3668,0.9388,0.9353,0.9324,0.9329,0.0196,467.75,0.4844,824.74,428.32,checkpoints/orgs_ResNet18_best.pth,0
orgs,GreenNet,33,0.35,0.8995,0.8891,0.8891,0.8872,0.0776,21.96,0.0233,96.75,80.75,checkpoints/orgs_GreenNet_best.pth,0
